utc,last_modified,preset,n,dist,mode,bright,px,blob,blob2,bw,bh,fill,dom,dom2,cx,cy,bpk,bsat,bact,nblobs,blocks,vetoed,veto30,hit,bytes
2026-09-02 00:49:56,"Wed, 02 Sep 2026 00:49:47 GMT",12,148,0.4,night,112.0,37,1,0,1,1,1.0,1.0,0.0,0.188,0.463,115,0.0,0.173,1,1,0,0,0,177770
2026-09-02 00:50:08,"Wed, 02 Sep 2026 00:50:02 GMT",7,145,0.4,night,107.5,6,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,172053
2026-09-02 00:50:58,"Wed, 02 Sep 2026 00:50:47 GMT",9,572,12.5,night,82.1,15005,279,127,39,20,0.36,0.42,0.45,0.161,0.778,224,0.0,0.352,63,670,385,840,0,135445
2026-09-02 00:51:10,"Wed, 02 Sep 2026 00:51:01 GMT",9,573,16.5,night,93.1,21331,529,150,50,30,0.35,0.5,0.51,0.421,0.495,255,0.23,0.379,36,1054,456,1066,0,154547
2026-09-02 00:51:59,"Wed, 02 Sep 2026 00:51:47 GMT",9,574,15.4,night,85.2,19812,394,163,38,15,0.69,0.41,0.43,0.811,0.868,236,0.0,0.33,45,953,451,988,0,157463
2026-09-02 00:52:12,"Wed, 02 Sep 2026 00:52:02 GMT",9,575,10.8,night,85.0,12772,279,101,33,14,0.6,0.48,0.51,0.831,0.875,226,0.0,0.369,37,579,350,782,0,157197
2026-09-02 00:52:49,"Wed, 02 Sep 2026 00:52:47 GMT",10,157,1.7,night,156.4,18,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,145737
2026-09-02 00:53:01,"Wed, 02 Sep 2026 00:52:47 GMT",10,158,1.2,night,156.4,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,145737
2026-09-02 00:53:13,"Wed, 02 Sep 2026 00:53:02 GMT",10,159,0.9,night,156.1,5,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,148217
2026-09-02 00:53:50,"Wed, 02 Sep 2026 00:53:46 GMT",14,138,1.6,night,147.2,15,2,0,1,2,1.0,1.0,0.0,0.698,0.657,255,1.0,0.09,1,2,0,0,0,148194
2026-09-02 00:54:14,"Wed, 02 Sep 2026 00:54:02 GMT",16,7,13.9,night,133.4,19604,1025,131,64,44,0.36,0.74,0.74,0.508,0.436,255,0.21,0.222,22,1394,0,373,0,103769
2026-09-02 00:54:51,"Wed, 02 Sep 2026 00:54:46 GMT",7,146,0.4,night,107.5,3,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,171685
2026-09-02 00:55:16,"Wed, 02 Sep 2026 00:55:02 GMT",7,147,0.3,night,107.6,4,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,172123
2026-09-02 00:55:53,"Wed, 02 Sep 2026 00:55:46 GMT",9,576,14.2,night,82.2,12924,164,84,48,11,0.31,0.28,0.29,0.732,0.811,225,0.0,0.408,59,596,292,760,0,135106
2026-09-02 00:56:06,"Wed, 02 Sep 2026 00:56:02 GMT",9,577,13.1,night,77.8,15160,148,131,24,14,0.44,0.21,0.22,0.558,0.533,255,0.33,0.435,65,716,409,982,0,136508
2026-09-02 00:56:55,"Wed, 02 Sep 2026 00:56:47 GMT",9,578,12.2,night,85.0,15179,326,69,39,14,0.6,0.54,0.56,0.808,0.871,240,0.0,0.415,36,602,491,998,0,157937
2026-09-02 00:57:07,"Wed, 02 Sep 2026 00:57:02 GMT",9,579,8.6,night,84.8,8942,184,33,25,14,0.53,0.56,0.6,0.847,0.874,242,0.0,0.445,23,326,347,672,0,156959
2026-09-02 01:02:07,"Wed, 02 Sep 2026 01:02:02 GMT",9,580,13.4,night,80.2,17695,263,217,27,34,0.29,0.26,0.28,0.611,0.481,255,0.02,0.316,52,993,267,917,0,140834
2026-09-02 01:02:55,"Wed, 02 Sep 2026 01:02:47 GMT",10,160,0.6,night,155.9,2,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,147958
2026-09-02 01:03:07,"Wed, 02 Sep 2026 01:03:02 GMT",10,161,0.5,night,155.9,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,147782
2026-09-02 01:03:56,"Wed, 02 Sep 2026 01:03:46 GMT",16,8,9.9,night,126.6,12944,919,32,91,49,0.21,0.93,0.94,0.547,0.384,255,0.03,0.257,19,990,0,308,0,121935
2026-09-02 01:04:08,"Wed, 02 Sep 2026 01:04:02 GMT",12,149,0.5,night,111.0,17,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,177031
