utc,sast,cam,mode,preset,source,logged_blob,md_animal_conf,keep,keep_conf,prediction_common,prediction_class,prediction_score,n_detections,md_bw_blocks,md_bh_blocks,md_cx,md_cy,model_version,path
2026-08-31 19:40:13,2026-08-31 21:40:13,nossob,night,15,hits,3,0.0797,0,0.15,blank,,0.7402,1,11.8,11.4,0.402,0.415,4.0.3a,hits/nossob/20260831/194013_p15_blob3.jpg
2026-08-31 19:51:55,2026-08-31 21:51:55,nossob,night,15,hits,4,0.1983,1,0.15,blank,,0.6812,1,2.2,5.6,0.891,0.357,4.0.3a,hits/nossob/20260831/195155_p15_blob4.jpg
2026-08-31 20:04:00,2026-08-31 22:04:00,nossob,night,11,hits,5,0.4615,1,0.15,no cv result,no cv result,0.9839,4,10.4,2.7,0.866,0.692,4.0.3a,hits/nossob/20260831/200400_p11_blob5.jpg
2026-08-31 20:05:11,2026-08-31 22:05:11,nossob,night,13,hits,3,0.0419,0,0.15,blank,,0.9949,4,2.1,2.7,0.533,0.578,4.0.3a,hits/nossob/20260831/200511_p13_blob3.jpg
2026-08-31 20:06:57,2026-08-31 22:06:57,nossob,night,11,hits,3,0.4019,1,0.15,no cv result,no cv result,0.9783,3,10.4,2.9,0.866,0.692,4.0.3a,hits/nossob/20260831/200657_p11_blob3.jpg
2026-08-31 20:30:00,2026-08-31 22:30:00,nossob,night,15,hits,3,0.1534,1,0.15,blank,,0.8958,1,2.1,5.8,0.892,0.358,4.0.3a,hits/nossob/20260831/203000_p15_blob3.jpg
2026-08-31 20:32:01,2026-08-31 22:32:01,nossob,night,8,hits,3,0.0,0,0.15,blank,,0.9209,0,,,,,4.0.3a,hits/nossob/20260831/203201_p8_blob3.jpg
2026-08-31 20:33:15,2026-08-31 22:33:15,nossob,night,11,hits,3,0.75,1,0.15,animal,,0.75,3,10.3,3.7,0.866,0.698,4.0.3a,hits/nossob/20260831/203315_p11_blob3.jpg
2026-08-31 20:44:51,2026-08-31 22:44:51,nossob,night,11,hits,6,0.0701,0,0.15,blank,,0.9966,5,2.6,16.8,0.986,0.538,4.0.3a,hits/nossob/20260831/204451_p11_blob6.jpg
2026-08-31 20:45:03,2026-08-31 22:45:03,nossob,night,11,hits,5,0.0701,0,0.15,blank,,0.9966,5,2.6,16.8,0.986,0.538,4.0.3a,hits/nossob/20260831/204503_p11_blob5.jpg
