utc,last_modified,preset,n,dist,mode,bright,px,blob,blob2,bw,bh,fill,dom,dom2,cx,cy,bpk,bsat,bact,nblobs,blocks,vetoed,veto30,hit,bytes
2026-09-03 01:30:08,"Thu, 03 Sep 2026 01:30:06 GMT",8,331,1.1,night,75.4,193,4,3,3,2,0.67,0.4,0.57,0.75,0.532,123,0.0,0.169,5,10,0,0,0,137833
2026-09-03 01:30:57,"Thu, 03 Sep 2026 01:30:50 GMT",15,324,0.4,night,73.4,115,1,1,1,1,1.0,0.5,0.0,0.76,0.926,147,0.0,0.119,2,2,0,0,0,134447
2026-09-03 01:31:09,"Thu, 03 Sep 2026 01:31:04 GMT",11,302,1.7,night,26.3,397,27,0,15,3,0.6,1.0,1.0,0.264,0.711,251,0.07,0.229,1,27,0,0,0,77043
2026-09-03 01:31:58,"Thu, 03 Sep 2026 01:31:49 GMT",14,441,0.5,night,58.1,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,73006
2026-09-03 01:32:10,"Thu, 03 Sep 2026 01:32:04 GMT",14,442,0.8,night,58.5,366,23,0,12,4,0.48,1.0,1.0,0.944,0.028,151,0.0,0.064,1,23,0,0,1,74906
2026-09-03 01:32:58,"Thu, 03 Sep 2026 01:32:50 GMT",8,332,0.8,night,75.4,75,1,0,1,1,1.0,1.0,0.0,0.865,0.926,115,0.0,0.106,1,1,0,0,0,137536
2026-09-03 01:33:15,"Thu, 03 Sep 2026 01:33:06 GMT",8,333,0.5,night,75.4,51,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,137355
2026-09-03 01:33:52,"Thu, 03 Sep 2026 01:33:51 GMT",15,325,0.4,night,72.4,112,2,1,2,2,0.5,0.5,0.0,0.516,0.454,113,0.0,0.219,3,4,0,0,0,131311
2026-09-03 01:34:08,"Thu, 03 Sep 2026 01:34:05 GMT",11,303,1.1,night,25.0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,76539
2026-09-03 01:34:57,"Thu, 03 Sep 2026 01:34:49 GMT",14,443,0.6,night,59.5,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,74262
2026-09-03 01:35:09,"Thu, 03 Sep 2026 01:35:04 GMT",16,27,9.7,night,35.0,8307,377,27,27,23,0.61,0.78,0.81,0.479,0.598,208,0.0,0.233,26,483,111,277,0,73043
2026-09-03 01:35:57,"Thu, 03 Sep 2026 01:35:50 GMT",8,334,0.5,night,75.2,85,1,0,1,1,1.0,1.0,0.0,0.656,0.963,138,0.0,0.06,1,1,0,0,0,137972
2026-09-03 01:36:10,"Thu, 03 Sep 2026 01:36:06 GMT",12,304,0.4,night,73.1,532,2,2,1,2,1.0,0.12,0.0,0.302,0.861,185,0.0,0.134,13,16,0,1,0,142804
2026-09-03 01:36:59,"Thu, 03 Sep 2026 01:36:51 GMT",15,326,0.3,night,72.2,69,1,0,1,1,1.0,1.0,0.0,0.51,0.444,115,0.0,0.287,1,1,0,0,0,131824
2026-09-03 01:37:11,"Thu, 03 Sep 2026 01:37:05 GMT",11,304,0.9,night,26.0,1,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,78120
2026-09-03 01:38:00,"Thu, 03 Sep 2026 01:37:50 GMT",14,444,1.0,night,60.1,479,16,10,8,5,0.4,0.44,0.46,0.818,0.031,153,0.0,0.067,4,36,0,0,0,81502
