utc,last_modified,preset,n,dist,mode,bright,px,blob,blob2,bw,bh,fill,dom,dom2,cx,cy,bpk,bsat,bact,nblobs,blocks,vetoed,veto30,hit,bytes
2026-09-02 00:53:18,"Wed, 02 Sep 2026 00:53:05 GMT",13,192,0.5,night,46.7,9,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,111073
2026-09-02 00:53:55,"Wed, 02 Sep 2026 00:53:51 GMT",12,188,0.6,night,70.0,353,2,1,1,2,1.0,0.33,0.0,0.521,0.972,164,0.0,0.061,5,6,0,0,0,146758
2026-09-02 00:54:20,"Wed, 02 Sep 2026 00:54:07 GMT",12,189,0.7,night,70.4,517,14,3,4,6,0.58,0.67,0.82,0.98,0.525,232,0.0,0.062,5,21,0,0,1,152338
2026-09-02 00:54:57,"Wed, 02 Sep 2026 00:54:51 GMT",11,195,0.8,night,25.7,10,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,81943
2026-09-02 00:55:09,"Wed, 02 Sep 2026 00:55:05 GMT",11,196,0.6,night,25.7,4,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,81694
2026-09-02 00:55:57,"Wed, 02 Sep 2026 00:55:50 GMT",18,18,1.1,night,58.5,274,1,0,1,1,1.0,1.0,0.0,0.219,0.759,134,0.0,0.191,1,1,0,0,0,123886
2026-09-02 00:56:10,"Wed, 02 Sep 2026 00:56:05 GMT",13,193,0.5,night,47.8,15,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,111439
2026-09-02 00:56:59,"Wed, 02 Sep 2026 00:56:51 GMT",12,190,0.7,night,71.3,622,6,4,2,4,0.75,0.29,0.6,0.986,0.528,101,0.0,0.116,11,21,0,0,0,148422
2026-09-02 00:57:11,"Wed, 02 Sep 2026 00:57:06 GMT",12,191,0.5,night,71.4,474,4,3,2,3,0.67,0.33,0.57,0.987,0.532,100,0.0,0.169,7,12,0,0,0,148175
2026-09-02 01:02:06,"Wed, 02 Sep 2026 01:01:50 GMT",13,194,0.6,night,46.7,8,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,110223
2026-09-02 01:02:18,"Wed, 02 Sep 2026 01:02:06 GMT",13,195,0.4,night,46.6,21,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,109369
2026-09-02 01:02:54,"Wed, 02 Sep 2026 01:02:51 GMT",12,192,0.3,night,71.3,332,1,1,1,1,1.0,0.33,0.0,0.302,0.852,211,0.0,0.102,3,3,0,0,0,148144
2026-09-02 01:03:18,"Wed, 02 Sep 2026 01:03:06 GMT",15,195,0.5,night,71.6,218,3,1,3,2,0.5,0.6,1.0,0.802,0.951,163,0.0,0.06,3,5,0,0,0,136830
2026-09-02 01:03:54,"Wed, 02 Sep 2026 01:03:49 GMT",11,197,0.4,night,25.1,4,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,79607
2026-09-02 01:04:06,"Wed, 02 Sep 2026 01:04:05 GMT",14,280,0.5,night,60.7,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,77667
2026-09-02 01:04:18,"Wed, 02 Sep 2026 01:04:05 GMT",14,281,0.3,night,60.7,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,77667
2026-09-02 01:04:54,"Wed, 02 Sep 2026 01:04:50 GMT",13,196,0.4,night,48.0,5,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,112646
2026-09-02 01:05:18,"Wed, 02 Sep 2026 01:05:06 GMT",8,209,0.4,night,73.7,116,2,1,2,2,0.5,0.5,0.0,0.599,0.972,168,0.0,0.18,3,4,0,0,0,144096
2026-09-02 01:05:55,"Wed, 02 Sep 2026 01:05:51 GMT",12,193,0.3,night,71.3,247,3,1,1,3,1.0,0.6,1.0,0.26,0.889,173,0.0,0.239,3,5,0,1,0,148737
2026-09-02 01:06:19,"Wed, 02 Sep 2026 01:06:06 GMT",15,196,0.4,night,71.5,139,7,1,2,5,0.7,0.78,1.0,0.632,0.36,68,0.0,0.062,3,9,0,0,1,136418
2026-09-02 01:06:55,"Wed, 02 Sep 2026 01:06:49 GMT",11,198,10.0,night,22.6,8993,532,27,76,12,0.58,0.84,0.85,0.337,0.646,254,0.0,0.071,15,636,0,0,0,53422
2026-09-02 01:07:11,"Wed, 02 Sep 2026 01:07:04 GMT",14,282,0.6,night,59.1,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,76224
2026-09-02 01:07:59,"Wed, 02 Sep 2026 01:07:50 GMT",13,197,0.5,night,46.6,13,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,111463
2026-09-02 01:08:11,"Wed, 02 Sep 2026 01:08:06 GMT",8,210,0.4,night,73.0,55,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,144054
2026-09-02 01:09:00,"Wed, 02 Sep 2026 01:08:50 GMT",12,194,0.3,night,71.0,215,1,1,1,1,1.0,0.33,0.0,0.479,0.833,175,0.0,0.06,3,3,0,1,0,148306
2026-09-02 01:09:12,"Wed, 02 Sep 2026 01:09:06 GMT",15,197,0.3,night,71.3,89,4,0,4,1,1.0,1.0,1.0,0.901,0.278,87,0.0,0.063,1,4,0,0,0,136157
2026-09-02 01:10:00,"Wed, 02 Sep 2026 01:09:49 GMT",14,283,0.2,night,60.7,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,77958
2026-09-02 01:10:12,"Wed, 02 Sep 2026 01:10:05 GMT",14,284,0.3,night,60.6,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,77594
2026-09-02 01:11:00,"Wed, 02 Sep 2026 01:10:50 GMT",13,198,0.6,night,47.3,9,1,0,1,1,1.0,1.0,0.0,0.51,0.519,211,0.0,0.06,1,1,0,0,0,114120
